supplier,region,postcode,scraped_at,tariff_name,elec_unit_rate_p,elec_day_rate_p,elec_night_rate_p,elec_standing_p,gas_unit_rate_p,gas_standing_p,exit_fee_gbp,contract_months,error
eon_next,Eastern,IP4 5ET,2026-01-02T03:33:43.470585,,,,,,,,,,Could not extract rates
eon_next,East Midlands,DE23 6JJ,2026-01-02T03:39:38.819078,,,,,,,,,,Could not extract rates
eon_next,London,N5 2SD,2026-01-02T03:45:21.523658,,,,,,,,,,Could not extract rates
british_gas,Eastern,IP4 5ET,2026-01-02T03:30:08.672399,Fixed Tariff Dec26 v3,25.9,,,47.018,5.434,32.436,£50 per fuel,,
british_gas,East Midlands,DE23 6JJ,2026-01-02T03:31:27.291997,Fixed Tariff Dec26 v3,24.925,,,47.852,5.406,32.52,£50 per fuel,,
british_gas,London,N5 2SD,2026-01-02T03:32:38.480580,Fixed Tariff Dec26 v3,25.002,,,44.823,5.645,33.339,£50 per fuel,,
british_gas,North Wales & Merseyside,L3 2BN,2026-01-02T03:35:09.549571,Fixed Tariff Dec26 v3,27.093,,,68.714,5.687,33.201,£50 per fuel,,
british_gas,West Midlands,SY2 6HL,2026-01-02T03:36:00.879797,Fixed Tariff Dec26 v3,25.015,,,51.768,5.455,32.822,£50 per fuel,,
british_gas,North East,NE2 1UY,2026-01-02T03:37:06.696135,Fixed Tariff Dec26 v3,24.799,,,58.632,5.565,32.914,£50 per fuel,,
british_gas,North West,PR4 2NB,2026-01-02T03:39:40.407172,Fixed Tariff Dec26 v3,26.48,,,49.924,5.275,32.942,£50 per fuel,,
british_gas,South East,BN2 7HQ,2026-01-02T03:40:30.351005,Fixed Tariff Dec26 v3,26.29,,,46.362,5.474,32.37,£50 per fuel,,
british_gas,Southern,BH6 4AS,2026-01-02T03:41:29.079258,Fixed Tariff Dec26 v3,25.846,,,43.391,5.562,32.249,£50 per fuel,,
british_gas,South Wales,CF14 2DY,2026-01-02T03:43:44.389856,Fixed Tariff Dec26 v3,26.205,,,50.456,5.689,33.069,£50 per fuel,,
british_gas,South West,PL9 7BS,2026-01-02T03:44:48.102851,Fixed Tariff Dec26 v3,26.194,,,52.8,5.78,32.41,£50 per fuel,,
british_gas,Yorkshire,YO31 1DT,2026-01-02T03:45:58.082178,Fixed Tariff Dec26 v3,24.799,,,58.632,5.565,32.914,£50 per fuel,,
british_gas,North Scotland,AB24 3EN,2026-01-02T03:48:13.931153,Fixed Tariff Dec26 v3,26.427,,,59.765,5.41,32.983,£50 per fuel,,
british_gas,South Scotland,G20 6NQ,2026-01-02T03:49:10.236316,Fixed Tariff Dec26 v3,25.205,,,55.318,5.595,33.012,£50 per fuel,,
ovo,Eastern,IP4 5ET,2026-01-02T03:29:37.657111,1 Year Fixed,26.9,,,55.65,6.01,28.04,£50 per fuel,,
ovo,East Midlands,DE23 6JJ,2026-01-02T03:31:13.167567,1 Year Fixed,25.95,,,56.07,5.93,27.49,£50 per fuel,,
ovo,London,N5 2SD,2026-01-02T03:32:39.776356,1 Year Fixed,26.05,,,51.32,6.18,30.4,£50 per fuel,,
ovo,North Wales & Merseyside,L3 2BN,2026-01-02T03:35:47.452412,1 Year Fixed,28.14,,,75.22,6.1,30.26,£50 per fuel,,
ovo,West Midlands,SY2 6HL,2026-01-02T03:37:18.442608,1 Year Fixed,26.01,,,60.83,6.0,27.94,£50 per fuel,,
ovo,North East,NE2 1UY,2026-01-02T03:38:48.778769,1 Year Fixed,25.8,,,66.83,6.08,27.88,£50 per fuel,,
ovo,North West,PR4 2NB,2026-01-02T03:42:07.685013,1 Year Fixed,5.74,,,55.43,28.63,31.03,£50 per fuel,,
ovo,South East,BN2 7HQ,2026-01-02T03:43:45.341245,1 Year Fixed,27.22,,,55.83,5.97,27.34,£50 per fuel,12,
ovo,Southern,BH6 4AS,2026-01-02T03:45:18.791346,1 Year Fixed,26.88,,,51.98,6.13,28.28,£50 per fuel,,
ovo,South Wales,CF14 2DY,2026-01-02T03:48:24.148706,1 Year Fixed,27.22,,,59.28,6.26,27.5,£50 per fuel,12,
ovo,South West,PL9 7BS,2026-01-02T03:49:51.861129,1 Year Fixed,27.22,,,61.01,6.27,28.42,£50 per fuel,12,
ovo,Yorkshire,YO31 1DT,2026-01-02T03:51:21.441745,1 Year Fixed,25.8,,,66.83,6.08,27.88,£50 per fuel,,
ovo,North Scotland,AB24 3EN,2026-01-02T03:53:58.299001,1 Year Fixed,27.52,,,65.24,6.02,31.1,£50 per fuel,,
ovo,South Scotland,G20 6NQ,2026-01-02T03:55:23.098535,1 Year Fixed,26.13,,,64.79,6.04,27.97,£50 per fuel,12,
octopus,Eastern,IP4 5ET,2026-01-02T03:29:43.467347,Agile Octopus,12.789,,,48.788145,,,£0,,
octopus,East Midlands,DE23 6JJ,2026-01-02T03:29:43.467364,Agile Octopus,12.18,,,54.84696,,,£0,,
octopus,London,N5 2SD,2026-01-02T03:29:43.467370,Agile Octopus,12.18,,,39.535125,,,£0,,
octopus,North Wales & Merseyside,L3 2BN,2026-01-02T03:29:43.467374,Agile Octopus,13.398,,,65.83542,,,£0,,
octopus,West Midlands,SY2 6HL,2026-01-02T03:29:43.467379,Agile Octopus,12.789,,,61.56108,,,£0,,
octopus,North East,NE2 1UY,2026-01-02T03:29:43.467385,Agile Octopus,12.789,,,70.04823,,,£0,,
octopus,North West,PR4 2NB,2026-01-02T03:29:43.467390,Agile Octopus,12.789,,,49.98336,,,£0,,
octopus,Southern,BH6 4AS,2026-01-02T03:29:43.467397,Agile Octopus,12.789,,,62.224785,,,£0,,
octopus,South East,BN2 7HQ,2026-01-02T03:29:43.467406,Agile Octopus,13.398,,,55.78566,,,£0,,
octopus,South Wales,CF14 2DY,2026-01-02T03:29:43.467411,Agile Octopus,13.398,,,62.064135,,,£0,,
octopus,South West,PL9 7BS,2026-01-02T03:29:43.467415,Agile Octopus,14.007,,,66.066105,,,£0,,
octopus,Yorkshire,YO31 1DT,2026-01-02T03:29:43.467420,Agile Octopus,12.18,,,66.26277,,,£0,,
octopus,South Scotland,G20 6NQ,2026-01-02T03:29:43.467424,Agile Octopus,12.789,,,62.11863,,,£0,,
