supplier,region,postcode,scraped_at,tariff_name,elec_unit_rate_p,elec_day_rate_p,elec_night_rate_p,elec_standing_p,gas_unit_rate_p,gas_standing_p,exit_fee_gbp,contract_months,error
eon_next,Eastern,IP4 5ET,2026-01-26T04:00:16.659675,,,,,,,,,,Could not extract rates
eon_next,East Midlands,DE23 6JJ,2026-01-26T04:05:40.243149,,,,,,,,,,Could not extract rates
eon_next,London,N5 2SD,2026-01-26T04:11:29.164955,,,,,,,,,,Could not extract rates
british_gas,Eastern,IP4 5ET,2026-01-26T03:56:06.356753,Fixed Tariff Jan27 v2,27.011,,,48.388,5.564,33.806,£50 per fuel,,
british_gas,East Midlands,DE23 6JJ,2026-01-26T03:57:20.032590,Fixed Tariff Jan27 v2,26.036,,,49.222,5.537,33.89,£50 per fuel,,
british_gas,London,N5 2SD,2026-01-26T03:59:36.982563,Fixed Tariff Jan27 v2,26.114,,,46.193,5.775,34.709,£50 per fuel,,
british_gas,North Wales & Merseyside,L3 2BN,2026-01-26T04:01:59.245994,Fixed Tariff Jan27 v2,28.204,,,70.084,5.817,34.571,£50 per fuel,,
british_gas,West Midlands,SY2 6HL,2026-01-26T04:02:59.304043,Fixed Tariff Jan27 v2,26.126,,,53.137,5.585,34.192,£50 per fuel,,
british_gas,North East,NE2 1UY,2026-01-26T04:04:03.481375,Fixed Tariff Jan27 v2,25.91,,,60.002,5.695,34.284,£50 per fuel,,
british_gas,North West,PR4 2NB,2026-01-26T04:07:40.446543,Fixed Tariff Jan27 v2,27.591,,,51.294,5.405,34.312,£50 per fuel,,
british_gas,South East,BN2 7HQ,2026-01-26T04:08:39.529609,Fixed Tariff Jan27 v2,27.401,,,47.732,5.605,33.74,£50 per fuel,,
british_gas,Southern,BH6 4AS,2026-01-26T04:09:37.773391,Fixed Tariff Jan27 v2,26.957,,,44.76,5.692,33.619,£50 per fuel,,
british_gas,South Wales,CF14 2DY,2026-01-26T04:12:14.570516,Fixed Tariff Jan27 v2,27.316,,,51.826,5.819,34.439,£50 per fuel,,
british_gas,South West,PL9 7BS,2026-01-26T04:14:17.741231,Fixed Tariff Jan27 v2,27.305,,,54.17,5.91,33.78,£50 per fuel,,
british_gas,Yorkshire,YO31 1DT,2026-01-26T04:15:23.961099,Fixed Tariff Jan27 v2,25.91,,,60.002,5.695,34.284,£50 per fuel,,
british_gas,North Scotland,AB24 3EN,2026-01-26T04:17:30.653795,Fixed Tariff Jan27 v2,27.538,,,61.135,5.541,34.353,£50 per fuel,,
british_gas,South Scotland,G20 6NQ,2026-01-26T04:18:28.971591,Fixed Tariff Jan27 v2,26.316,,,56.687,5.726,34.382,£50 per fuel,,
ovo,Eastern,IP4 5ET,2026-01-26T03:56:00.224850,1 Year Fixed,27.11,,,58.23,6.05,24.83,£50 per fuel,,
ovo,East Midlands,DE23 6JJ,2026-01-26T03:57:21.937682,1 Year Fixed,26.17,,,58.15,6.0,24.92,£50 per fuel,,
ovo,London,N5 2SD,2026-01-26T03:58:45.535225,1 Year Fixed,26.7,,,51.03,6.21,25.64,£50 per fuel,,
ovo,North Wales & Merseyside,L3 2BN,2026-01-26T04:01:51.019608,1 Year Fixed,28.26,,,75.18,6.09,25.58,£50 per fuel,,
ovo,West Midlands,SY2 6HL,2026-01-26T04:03:13.813828,1 Year Fixed,26.2,,,63.54,6.09,25.19,£50 per fuel,,
