supplier,region,postcode,scraped_at,tariff_name,elec_unit_rate_p,elec_day_rate_p,elec_night_rate_p,elec_standing_p,gas_unit_rate_p,gas_standing_p,exit_fee_gbp,contract_months,error
eon_next,Eastern,IP4 5ET,2025-12-27T18:29:34.865551,,,,,,,,,,Could not extract rates
eon_next,East Midlands,DE23 6JJ,2025-12-27T18:35:17.114454,,,,,,,,,,Could not extract rates
eon_next,London,N5 2SD,2025-12-27T18:41:04.381687,,,,,,,,,,Could not extract rates
british_gas,Eastern,IP4 5ET,2025-12-27T18:25:44.581598,Fixed Tariff Dec26 v3,25.9,,,47.018,5.434,32.436,£50 per fuel,,
british_gas,East Midlands,DE23 6JJ,2025-12-27T18:26:49.666986,Fixed Tariff Dec26 v3,24.925,,,47.852,5.406,32.52,£50 per fuel,,
british_gas,London,N5 2SD,2025-12-27T18:27:56.510656,Fixed Tariff Dec26 v3,25.002,,,44.823,5.645,33.339,£50 per fuel,,
british_gas,North Wales & Merseyside,L3 2BN,2025-12-27T18:30:37.857600,Fixed Tariff Dec26 v3,27.093,,,68.714,5.687,33.201,£50 per fuel,,
british_gas,West Midlands,SY2 6HL,2025-12-27T18:31:41.426198,Fixed Tariff Dec26 v3,25.015,,,51.768,5.455,32.822,£50 per fuel,,
british_gas,North East,NE2 1UY,2025-12-27T18:32:49.626194,Fixed Tariff Dec26 v3,24.799,,,58.632,5.565,32.914,£50 per fuel,,
british_gas,North West,PR4 2NB,2025-12-27T18:35:20.602646,Fixed Tariff Dec26 v3,26.48,,,49.924,5.275,32.942,£50 per fuel,,
british_gas,South East,BN2 7HQ,2025-12-27T18:36:27.063581,Fixed Tariff Dec26 v3,26.29,,,46.362,5.474,32.37,£50 per fuel,,
british_gas,Southern,BH6 4AS,2025-12-27T18:37:16.822369,Fixed Tariff Dec26 v3,25.846,,,43.391,5.562,32.249,£50 per fuel,,
british_gas,South Wales,CF14 2DY,2025-12-27T18:39:37.642340,Fixed Tariff Dec26 v3,26.205,,,50.456,5.689,33.069,£50 per fuel,,
british_gas,South West,PL9 7BS,2025-12-27T18:40:43.041656,Fixed Tariff Dec26 v3,26.194,,,52.8,5.78,32.41,£50 per fuel,,
british_gas,Yorkshire,YO31 1DT,2025-12-27T18:41:46.069948,Fixed Tariff Dec26 v3,24.799,,,58.632,5.565,32.914,£50 per fuel,,
british_gas,North Scotland,AB24 3EN,2025-12-27T18:44:03.309219,Fixed Tariff Dec26 v3,26.427,,,59.765,5.41,32.983,£50 per fuel,,
british_gas,South Scotland,G20 6NQ,2025-12-27T18:45:15.699454,Fixed Tariff Dec26 v3,25.205,,,55.318,5.595,33.012,£50 per fuel,,
ovo,Eastern,IP4 5ET,2025-12-27T18:25:31.806630,1 Year Fixed,26.9,,,55.65,6.01,28.04,£50 per fuel,12,
ovo,East Midlands,DE23 6JJ,2025-12-27T18:26:54.313028,1 Year Fixed,25.95,,,56.07,5.93,27.49,£50 per fuel,,
ovo,London,N5 2SD,2025-12-27T18:28:19.954924,1 Year Fixed,26.05,,,51.32,6.18,30.4,£50 per fuel,,
ovo,North Wales & Merseyside,L3 2BN,2025-12-27T18:31:21.018385,1 Year Fixed,28.14,,,75.22,6.1,30.26,£50 per fuel,12,
ovo,West Midlands,SY2 6HL,2025-12-27T18:32:59.394479,1 Year Fixed,26.01,,,60.83,6.0,27.94,£50 per fuel,,
ovo,North East,NE2 1UY,2025-12-27T18:34:26.612031,1 Year Fixed,25.8,,,66.83,6.08,27.88,£50 per fuel,12,
ovo,North West,PR4 2NB,2025-12-27T18:37:50.775266,1 Year Fixed,28.63,,,55.43,20.76,31.03,£50 per fuel,12,
ovo,South East,BN2 7HQ,2025-12-27T18:39:43.883381,1 Year Fixed,27.22,,,55.83,5.97,27.34,£50 per fuel,12,
ovo,Southern,BH6 4AS,2025-12-27T18:41:24.456136,1 Year Fixed,26.88,,,51.98,6.13,28.28,£50 per fuel,,
ovo,South Wales,CF14 2DY,2025-12-27T18:44:25.703059,1 Year Fixed,27.22,,,59.28,6.26,27.5,£50 per fuel,,
ovo,South West,PL9 7BS,2025-12-27T18:45:57.315179,1 Year Fixed,27.22,,,61.01,6.27,28.42,£50 per fuel,,
ovo,Yorkshire,YO31 1DT,2025-12-27T18:47:29.379871,1 Year Fixed,25.8,,,66.83,6.08,27.88,£50 per fuel,,
ovo,North Scotland,AB24 3EN,2025-12-27T18:50:14.517058,1 Year Fixed,27.52,,,65.24,6.02,31.1,£50 per fuel,,
ovo,South Scotland,G20 6NQ,2025-12-27T18:51:49.211751,1 Year Fixed,26.13,,,64.79,6.04,27.97,£50 per fuel,12,
octopus,Eastern,IP4 5ET,2025-12-27T18:25:37.726537,Agile Octopus,18.207,,,48.788145,,,£0,,
octopus,East Midlands,DE23 6JJ,2025-12-27T18:25:37.726550,Agile Octopus,17.346,,,54.84696,,,£0,,
octopus,London,N5 2SD,2025-12-27T18:25:37.726553,Agile Octopus,17.346,,,39.535125,,,£0,,
octopus,North Wales & Merseyside,L3 2BN,2025-12-27T18:25:37.726556,Agile Octopus,19.0785,,,65.83542,,,£0,,
octopus,West Midlands,SY2 6HL,2025-12-27T18:25:37.726559,Agile Octopus,18.207,,,61.56108,,,£0,,
octopus,North East,NE2 1UY,2025-12-27T18:25:37.726561,Agile Octopus,18.207,,,70.04823,,,£0,,
octopus,North West,PR4 2NB,2025-12-27T18:25:37.726563,Agile Octopus,18.207,,,49.98336,,,£0,,
octopus,Southern,BH6 4AS,2025-12-27T18:25:37.726568,Agile Octopus,18.207,,,62.224785,,,£0,,
octopus,South East,BN2 7HQ,2025-12-27T18:25:37.726571,Agile Octopus,19.0785,,,55.78566,,,£0,,
octopus,South Wales,CF14 2DY,2025-12-27T18:25:37.726573,Agile Octopus,19.0785,,,62.064135,,,£0,,
octopus,South West,PL9 7BS,2025-12-27T18:25:37.726576,Agile Octopus,19.9395,,,66.066105,,,£0,,
octopus,Yorkshire,YO31 1DT,2025-12-27T18:25:37.726578,Agile Octopus,17.346,,,66.26277,,,£0,,
octopus,South Scotland,G20 6NQ,2025-12-27T18:25:37.726584,Agile Octopus,18.207,,,62.11863,,,£0,,
octopus,North Scotland,AB24 3EN,2025-12-27T18:25:37.726586,Agile Octopus,20.811,,,59.928225,,,£0,,
octopus,Eastern,IP4 5ET,2025-12-27T18:25:38.273341,Cosy Octopus,14.62608,,,47.7036,,,£0,,
octopus,East Midlands,DE23 6JJ,2025-12-27T18:25:38.273354,Cosy Octopus,14.08806,,,47.631675,,,£0,,
octopus,London,N5 2SD,2025-12-27T18:25:38.273359,Cosy Octopus,14.131005,,,44.78082,,,£0,,
octopus,North Wales & Merseyside,L3 2BN,2025-12-27T18:25:38.273363,Cosy Octopus,15.283905,,,68.34114,,,£0,,
octopus,West Midlands,SY2 6HL,2025-12-27T18:25:38.273367,Cosy Octopus,14.137935,,,51.80868,,,£0,,
octopus,North East,NE2 1UY,2025-12-27T18:25:38.273371,Cosy Octopus,14.01855,,,58.21221,,,£0,,
octopus,North West,PR4 2NB,2025-12-27T18:25:38.273374,Cosy Octopus,14.9457,,,49.605045,,,£0,,
octopus,Southern,BH6 4AS,2025-12-27T18:25:38.273377,Cosy Octopus,14.596155,,,43.822905,,,£0,,
octopus,South East,BN2 7HQ,2025-12-27T18:25:38.273381,Cosy Octopus,14.841015,,,47.07927,,,£0,,
octopus,South Wales,CF14 2DY,2025-12-27T18:25:38.273385,Cosy Octopus,14.79387,,,49.797825,,,£0,,
octopus,South West,PL9 7BS,2025-12-27T18:25:38.273390,Cosy Octopus,14.788305,,,53.70435,,,£0,,
octopus,Yorkshire,YO31 1DT,2025-12-27T18:25:38.273394,Cosy Octopus,13.96521,,,57.15927,,,£0,,
octopus,South Scotland,G20 6NQ,2025-12-27T18:25:38.273398,Cosy Octopus,14.24304,,,56.595525,,,£0,,
octopus,North Scotland,AB24 3EN,2025-12-27T18:25:38.273403,Cosy Octopus,14.916615,,,60.993975,,,£0,,
octopus,Eastern,IP4 5ET,2025-12-27T18:25:38.838445,Cosy Octopus 12M Fixed,28.649355,,,47.7036,,,£25 per fuel,,
octopus,East Midlands,DE23 6JJ,2025-12-27T18:25:38.838460,Cosy Octopus 12M Fixed,27.59547,,,47.631675,,,£25 per fuel,,
octopus,London,N5 2SD,2025-12-27T18:25:38.838466,Cosy Octopus 12M Fixed,27.67968,,,44.78082,,,£25 per fuel,,
octopus,North Wales & Merseyside,L3 2BN,2025-12-27T18:25:38.838471,Cosy Octopus 12M Fixed,29.93802,,,68.34114,,,£25 per fuel,,
octopus,West Midlands,SY2 6HL,2025-12-27T18:25:38.838476,Cosy Octopus 12M Fixed,27.693225,,,51.80868,,,£25 per fuel,,
octopus,North East,NE2 1UY,2025-12-27T18:25:38.838480,Cosy Octopus 12M Fixed,27.459495,,,58.21221,,,£25 per fuel,,
octopus,North West,PR4 2NB,2025-12-27T18:25:38.838485,Cosy Octopus 12M Fixed,29.275575,,,49.605045,,,£25 per fuel,,
octopus,Southern,BH6 4AS,2025-12-27T18:25:38.838490,Cosy Octopus 12M Fixed,28.59087,,,43.822905,,,£25 per fuel,,
octopus,South East,BN2 7HQ,2025-12-27T18:25:38.838495,Cosy Octopus 12M Fixed,29.070405,,,47.07927,,,£25 per fuel,,
octopus,South Wales,CF14 2DY,2025-12-27T18:25:38.838499,Cosy Octopus 12M Fixed,28.978215,,,49.797825,,,£25 per fuel,,
octopus,South West,PL9 7BS,2025-12-27T18:25:38.838505,Cosy Octopus 12M Fixed,28.96719,,,53.70435,,,£25 per fuel,,
octopus,Yorkshire,YO31 1DT,2025-12-27T18:25:38.838509,Cosy Octopus 12M Fixed,27.354915,,,57.15927,,,£25 per fuel,,
octopus,South Scotland,G20 6NQ,2025-12-27T18:25:38.838514,Cosy Octopus 12M Fixed,27.89913,,,56.595525,,,£25 per fuel,,
