supplier,region,postcode,scraped_at,tariff_name,elec_unit_rate_p,elec_day_rate_p,elec_night_rate_p,elec_standing_p,gas_unit_rate_p,gas_standing_p,exit_fee_gbp,contract_months,error
eon_next,Eastern,IP4 5ET,2026-01-12T03:49:21.462686,Next Fixed 18m v29,26.09,5.39,,44.73,5.39,34.74,50,,
eon_next,East Midlands,DE23 6JJ,2026-01-12T03:51:49.777302,Next Fixed 18m v29,25.25,5.32,,45.57,5.32,34.82,50,,
eon_next,London,N5 2SD,2026-01-12T03:53:29.955129,Next Fixed 18m v29,23.12,5.1,,47.11,5.1,35.62,50,,
eon_next,North Wales & Merseyside,L3 2BN,2026-01-12T03:57:14.188748,Next Fixed 18m v29,24.57,5.05,,71.01,5.05,35.49,50,,
eon_next,West Midlands,SY2 6HL,2026-01-12T03:58:52.629271,Next Fixed 18m v29,25.3,5.39,,49.52,5.39,35.12,50,,
eon_next,North East,NE2 1UY,2026-01-12T04:01:59.618022,Next Fixed 18m v29,25.37,5.42,,56.47,5.42,35.2,50,,
eon_next,North West,PR4 2NB,2026-01-12T04:04:54.689120,Next Fixed 18m v29,24.05,4.98,,49.04,4.98,35.23,50,,
eon_next,South East,BN2 7HQ,2026-01-12T04:06:23.314198,Next Fixed 18m v29,24.69,5.03,,48.66,5.03,34.68,50,,
eon_next,Southern,BH6 4AS,2026-01-12T04:07:56.432260,Next Fixed 18m v29,24.39,5.17,,45.7,5.17,34.55,50,,
eon_next,South Wales,CF14 2DY,2026-01-12T04:11:48.186347,Next Fixed 18m v29,24.52,5.14,,52.75,5.14,35.35,50,,
eon_next,South West,PL9 7BS,2026-01-12T04:13:17.860560,Next Fixed 18m v29,24.48,5.14,,55.11,5.14,34.71,50,,
eon_next,Yorkshire,YO31 1DT,2026-01-12T04:14:56.369203,Next Fixed 18m v29,25.37,5.42,,56.47,5.42,35.2,50,,
eon_next,North Scotland,AB24 3EN,2026-01-12T04:18:12.462365,Next Fixed 18m v29,24.25,4.95,,62.06,4.95,35.28,50,,
eon_next,South Scotland,G20 6NQ,2026-01-12T04:21:43.754513,Next Fixed 18m v29,23.82,4.99,,57.62,4.99,35.3,50,,
british_gas,Eastern,IP4 5ET,2026-01-12T03:49:24.962532,Fixed Tariff Jan27 v1,25.9,,,47.018,5.434,32.436,£50 per fuel,,
british_gas,East Midlands,DE23 6JJ,2026-01-12T03:50:52.510250,Fixed Tariff Jan27 v1,24.925,,,47.852,5.406,32.52,£50 per fuel,,
british_gas,London,N5 2SD,2026-01-12T03:52:03.296485,Fixed Tariff Jan27 v1,25.002,,,44.823,5.645,33.339,£50 per fuel,,
british_gas,North Wales & Merseyside,L3 2BN,2026-01-12T03:54:43.988619,Fixed Tariff Jan27 v1,27.093,,,68.714,5.687,33.201,£50 per fuel,,
british_gas,West Midlands,SY2 6HL,2026-01-12T03:55:40.006592,Fixed Tariff Jan27 v1,25.015,,,51.768,5.455,32.822,£50 per fuel,,
british_gas,North East,NE2 1UY,2026-01-12T03:56:52.349807,Fixed Tariff Jan27 v1,24.799,,,58.632,5.565,32.914,£50 per fuel,,
british_gas,North West,PR4 2NB,2026-01-12T03:59:44.920414,Fixed Tariff Jan27 v1,26.48,,,49.924,5.275,32.942,£50 per fuel,,
british_gas,South East,BN2 7HQ,2026-01-12T04:00:53.928521,Fixed Tariff Jan27 v1,26.29,,,46.362,5.474,32.37,£50 per fuel,,
british_gas,Southern,BH6 4AS,2026-01-12T04:02:02.754852,Fixed Tariff Jan27 v1,25.846,,,43.391,5.562,32.249,£50 per fuel,,
british_gas,South Wales,CF14 2DY,2026-01-12T04:04:45.426777,Fixed Tariff Jan27 v1,26.205,,,50.456,5.689,33.069,£50 per fuel,,
british_gas,South West,PL9 7BS,2026-01-12T04:05:46.944603,Fixed Tariff Jan27 v1,26.194,,,52.8,5.78,32.41,£50 per fuel,,
british_gas,Yorkshire,YO31 1DT,2026-01-12T04:06:46.159038,Fixed Tariff Jan27 v1,24.799,,,58.632,5.565,32.914,£50 per fuel,,
british_gas,North Scotland,AB24 3EN,2026-01-12T04:09:06.179506,Fixed Tariff Jan27 v1,26.427,,,59.765,5.41,32.983,£50 per fuel,,
british_gas,South Scotland,G20 6NQ,2026-01-12T04:10:15.818523,Fixed Tariff Jan27 v1,25.205,,,55.318,5.595,33.012,£50 per fuel,,
ovo,Eastern,IP4 5ET,2026-01-12T03:48:57.789204,1 Year Fixed,26.86,,,56.71,5.83,26.4,£50 per fuel,12,
ovo,East Midlands,DE23 6JJ,2026-01-12T03:50:27.428792,1 Year Fixed,25.94,,,56.65,5.78,26.48,£50 per fuel,,
ovo,London,N5 2SD,2026-01-12T03:52:01.382840,1 Year Fixed,26.43,,,49.63,6.0,27.2,£50 per fuel,12,
ovo,North Wales & Merseyside,L3 2BN,2026-01-12T03:54:57.327700,1 Year Fixed,27.99,,,73.74,5.88,27.14,£50 per fuel,,
ovo,West Midlands,SY2 6HL,2026-01-12T03:56:23.469169,1 Year Fixed,25.97,,,61.99,5.87,26.75,£50 per fuel,,
ovo,North East,NE2 1UY,2026-01-12T03:57:51.066185,1 Year Fixed,25.96,,,66.78,5.88,26.87,£50 per fuel,12,
ovo,North West,PR4 2NB,2026-01-12T04:01:02.869910,1 Year Fixed,28.76,,,52.72,20.88,26.9,£50 per fuel,12,
ovo,South East,BN2 7HQ,2026-01-12T04:02:45.725405,1 Year Fixed,27.09,,,56.95,5.88,26.36,£50 per fuel,12,
ovo,Southern,BH6 4AS,2026-01-12T04:04:23.397794,1 Year Fixed,26.82,,,52.84,6.04,26.23,£50 per fuel,,
ovo,South Wales,CF14 2DY,2026-01-12T04:07:38.866158,1 Year Fixed,27.01,,,60.39,5.97,27.04,£50 per fuel,12,
ovo,South West,PL9 7BS,2026-01-12T04:09:11.760633,1 Year Fixed,27.06,,,60.84,6.08,26.37,£50 per fuel,12,
ovo,Yorkshire,YO31 1DT,2026-01-12T04:10:43.652870,1 Year Fixed,25.96,,,66.78,5.88,26.87,£50 per fuel,,
ovo,North Scotland,AB24 3EN,2026-01-12T04:14:25.556727,1 Year Fixed,27.21,,,62.08,5.81,26.94,£50 per fuel,12,
