supplier,region,postcode,scraped_at,tariff_name,elec_unit_rate_p,elec_day_rate_p,elec_night_rate_p,elec_standing_p,gas_unit_rate_p,gas_standing_p,exit_fee_gbp,contract_months,error
eon_next,Eastern,IP4 5ET,2026-01-09T03:29:16.178691,Next Fixed 16m v18,24.52,4.94,,49.33,4.94,34.74,50,,
eon_next,East Midlands,DE23 6JJ,2026-01-09T03:30:57.923946,Next Fixed 16m v18,23.63,4.88,,50.17,4.88,34.82,50,,
eon_next,London,N5 2SD,2026-01-09T03:32:32.249921,Next Fixed 16m v18,23.64,5.03,,44.88,5.03,35.62,50,,
eon_next,North Wales & Merseyside,L3 2BN,2026-01-09T03:36:24.607404,Next Fixed 16m v18,24.77,4.91,,69.41,4.91,35.49,50,,
eon_next,West Midlands,SY2 6HL,2026-01-09T03:37:44.486327,Next Fixed 12m v108,25.04,5.15,,45.78,5.15,34.05,50,,
eon_next,North East,NE2 1UY,2026-01-09T03:40:49.986959,Next Fixed 16m v18,23.38,4.93,,63.32,4.93,35.2,50,,
eon_next,North West,PR4 2NB,2026-01-09T03:44:39.206839,Next Fixed 16m v18,24.18,4.89,,49.04,4.89,35.23,50,,
eon_next,South East,BN2 7HQ,2026-01-09T03:46:14.476919,Next Fixed 18m v29,24.69,5.03,,48.66,5.03,34.68,50,,
eon_next,Southern,BH6 4AS,2026-01-09T03:47:43.796037,Next Fixed 12m v108,25.81,5.27,,37.27,5.27,33.48,50,,
eon_next,South Wales,CF14 2DY,2026-01-09T03:50:55.621635,Next Fixed 16m v18,24.16,5.01,,56.62,5.01,35.35,50,,
eon_next,South West,PL9 7BS,2026-01-09T03:52:42.785102,Next Fixed 18m v29,24.48,5.14,,55.11,5.14,34.71,50,,
eon_next,Yorkshire,YO31 1DT,2026-01-09T03:54:28.118513,Next Fixed 16m v18,23.38,4.93,,63.32,4.93,35.2,50,,
eon_next,North Scotland,AB24 3EN,2026-01-09T03:58:15.131904,Next Fixed 18m v29,24.25,4.95,,62.06,4.95,35.28,50,,
eon_next,South Scotland,G20 6NQ,2026-01-09T04:01:20.484720,Next Fixed 18m v29,23.82,4.99,,57.62,4.99,35.3,50,,
british_gas,Eastern,IP4 5ET,2026-01-09T03:29:28.088279,Fixed Tariff Jan27 v1,25.9,,,47.018,5.434,32.436,£50 per fuel,,
british_gas,East Midlands,DE23 6JJ,2026-01-09T03:30:37.442733,Fixed Tariff Jan27 v1,24.925,,,47.852,5.406,32.52,£50 per fuel,,
british_gas,London,N5 2SD,2026-01-09T03:31:43.457721,Fixed Tariff Jan27 v1,25.002,,,44.823,5.645,33.339,£50 per fuel,,
british_gas,North Wales & Merseyside,L3 2BN,2026-01-09T03:34:04.876569,Fixed Tariff Jan27 v1,27.093,,,68.714,5.687,33.201,£50 per fuel,,
british_gas,West Midlands,SY2 6HL,2026-01-09T03:35:04.222648,Fixed Tariff Jan27 v1,25.015,,,51.768,5.455,32.822,£50 per fuel,,
british_gas,North East,NE2 1UY,2026-01-09T03:36:09.968736,Fixed Tariff Jan27 v1,24.799,,,58.632,5.565,32.914,£50 per fuel,,
british_gas,North West,PR4 2NB,2026-01-09T03:38:44.098931,Fixed Tariff Jan27 v1,26.48,,,49.924,5.275,32.942,£50 per fuel,,
british_gas,South East,BN2 7HQ,2026-01-09T03:39:52.154913,Fixed Tariff Jan27 v1,26.29,,,46.362,5.474,32.37,£50 per fuel,,
british_gas,Southern,BH6 4AS,2026-01-09T03:40:45.169540,Fixed Tariff Jan27 v1,25.846,,,43.391,5.562,32.249,£50 per fuel,,
british_gas,South Wales,CF14 2DY,2026-01-09T03:43:16.596566,Fixed Tariff Jan27 v1,26.205,,,50.456,5.689,33.069,£50 per fuel,,
british_gas,South West,PL9 7BS,2026-01-09T03:44:16.884741,Fixed Tariff Jan27 v1,26.194,,,52.8,5.78,32.41,£50 per fuel,,
