supplier,region,postcode,scraped_at,tariff_name,elec_unit_rate_p,elec_day_rate_p,elec_night_rate_p,elec_standing_p,gas_unit_rate_p,gas_standing_p,exit_fee_gbp,contract_months,error
british_gas,Eastern,IP4 5ET,2026-02-13T04:21:40.512572,Fixed Tariff Feb27 v5,25.58,,,47.977,5.528,33.375,£50 per fuel,,
british_gas,East Midlands,DE23 6JJ,2026-02-13T04:22:51.427038,Fixed Tariff Feb27 v5,24.629,,,48.81,5.501,33.458,£50 per fuel,,
british_gas,London,N5 2SD,2026-02-13T04:23:56.997437,Fixed Tariff Feb27 v5,24.662,,,45.781,5.738,34.278,£50 per fuel,,
british_gas,North Wales & Merseyside,L3 2BN,2026-02-13T04:26:21.733023,Fixed Tariff Feb27 v5,26.355,,,69.672,5.78,34.141,£50 per fuel,,
british_gas,West Midlands,SY2 6HL,2026-02-13T04:27:17.240685,Fixed Tariff Feb27 v5,24.73,,,52.726,5.548,33.761,£50 per fuel,,
british_gas,North East,NE2 1UY,2026-02-13T04:28:19.000524,Fixed Tariff Feb27 v5,24.72,,,59.59,5.615,33.852,£50 per fuel,,
british_gas,North West,PR4 2NB,2026-02-13T04:31:51.335449,Fixed Tariff Feb27 v5,25.187,,,50.882,5.371,33.881,£50 per fuel,,
british_gas,South East,BN2 7HQ,2026-02-13T04:32:48.386710,Fixed Tariff Feb27 v5,25.833,,,47.32,5.568,33.309,£50 per fuel,,
british_gas,Southern,BH6 4AS,2026-02-13T04:33:52.387624,Fixed Tariff Feb27 v5,25.537,,,44.349,5.656,33.188,£50 per fuel,,
british_gas,South Wales,CF14 2DY,2026-02-13T04:36:33.104121,Fixed Tariff Feb27 v5,26.076,,,51.413,5.782,34.008,£50 per fuel,,
british_gas,South West,PL9 7BS,2026-02-13T04:37:24.363218,Fixed Tariff Feb27 v5,26.078,,,53.758,5.853,33.349,£50 per fuel,,
british_gas,Yorkshire,YO31 1DT,2026-02-13T04:38:41.464205,Fixed Tariff Feb27 v5,24.72,,,59.59,5.615,33.852,£50 per fuel,,
british_gas,North Scotland,AB24 3EN,2026-02-13T04:41:06.845286,Fixed Tariff Feb27 v5,25.545,,,60.723,5.504,33.921,£50 per fuel,,
british_gas,South Scotland,G20 6NQ,2026-02-13T04:42:16.010615,Fixed Tariff Feb27 v5,25.121,,,56.276,5.585,33.951,£50 per fuel,,
ovo,Eastern,IP4 5ET,2026-02-13T04:21:36.203173,1 Year Fixed,26.97,,,58.19,5.96,24.83,£50 per fuel,,
ovo,East Midlands,DE23 6JJ,2026-02-13T04:23:09.559750,1 Year Fixed,26.02,,,58.11,5.91,24.92,£50 per fuel,,
ovo,London,N5 2SD,2026-02-13T04:24:37.234891,1 Year Fixed,26.6,,,50.99,6.16,25.64,£50 per fuel,,
ovo,North Wales & Merseyside,L3 2BN,2026-02-13T04:27:32.607901,1 Year Fixed,28.11,,,75.14,6.06,25.58,£50 per fuel,,
ovo,West Midlands,SY2 6HL,2026-02-13T04:29:06.048401,1 Year Fixed,26.05,,,63.49,6.0,25.19,£50 per fuel,,
ovo,North East,NE2 1UY,2026-02-13T04:31:20.563963,1 Year Fixed,26.06,,,68.24,6.06,25.31,£50 per fuel,,
ovo,North West,PR4 2NB,2026-02-13T04:34:46.602832,1 Year Fixed,6.03,,,54.03,29.35,25.33,£50 per fuel,,
ovo,South East,BN2 7HQ,2026-02-13T04:37:28.468647,1 Year Fixed,27.18,,,58.44,6.03,24.79,£50 per fuel,,
ovo,Southern,BH6 4AS,2026-02-13T04:38:56.069446,1 Year Fixed,26.92,,,54.3,6.22,24.66,£50 per fuel,,
ovo,South Wales,CF14 2DY,2026-02-13T04:42:10.989539,1 Year Fixed,27.07,,,61.88,6.1,25.47,£50 per fuel,,
ovo,South West,PL9 7BS,2026-02-13T04:43:45.648337,1 Year Fixed,27.13,,,62.28,6.22,24.8,£50 per fuel,,
ovo,Yorkshire,YO31 1DT,2026-02-13T04:45:07.962749,1 Year Fixed,26.06,,,68.24,6.06,25.31,£50 per fuel,,
ovo,North Scotland,AB24 3EN,2026-02-13T04:48:09.189768,1 Year Fixed,27.28,,,63.39,6.02,25.38,£50 per fuel,,
ovo,South Scotland,G20 6NQ,2026-02-13T04:49:47.173993,1 Year Fixed,26.57,,,67.54,6.02,25.4,£50 per fuel,,
octopus,Eastern,IP4 5ET,2026-02-13T04:21:42.189625,Agile Octopus,17.661,,,48.788145,,,£0,,
octopus,East Midlands,DE23 6JJ,2026-02-13T04:21:42.189639,Agile Octopus,16.821,,,54.84696,,,£0,,
octopus,London,N5 2SD,2026-02-13T04:21:42.189646,Agile Octopus,16.821,,,39.535125,,,£0,,
octopus,North Wales & Merseyside,L3 2BN,2026-02-13T04:21:42.189649,Agile Octopus,18.501,,,65.83542,,,£0,,
octopus,West Midlands,SY2 6HL,2026-02-13T04:21:42.189651,Agile Octopus,17.661,,,61.56108,,,£0,,
octopus,North East,NE2 1UY,2026-02-13T04:21:42.189653,Agile Octopus,17.661,,,70.04823,,,£0,,
octopus,North West,PR4 2NB,2026-02-13T04:21:42.189656,Agile Octopus,17.661,,,49.98336,,,£0,,
octopus,Southern,BH6 4AS,2026-02-13T04:21:42.189660,Agile Octopus,17.661,,,62.224785,,,£0,,
