supplier,region,postcode,scraped_at,tariff_name,elec_unit_rate_p,elec_day_rate_p,elec_night_rate_p,elec_standing_p,gas_unit_rate_p,gas_standing_p,exit_fee_gbp,contract_months,error
british_gas,Eastern,IP4 5ET,2026-03-10T04:09:03.747313,Fixed Tariff Mar27 v3,29.412,,,47.703,6.512,32.554,£75 per fuel,,
british_gas,East Midlands,DE23 6JJ,2026-03-10T04:10:17.863923,Fixed Tariff Mar27 v3,28.011,,,48.537,6.531,32.637,£75 per fuel,,
british_gas,London,N5 2SD,2026-03-10T04:14:10.808726,,,,,,,,,,"Timeout: Locator.wait_for: Timeout 20000ms exceeded.
Call log:
  - waiting for locator(""#address-select"") to be visible
"
british_gas,North Wales & Merseyside,L3 2BN,2026-03-10T04:16:44.768282,Fixed Tariff Mar27 v3,30.309,,,69.399,6.905,33.319,£75 per fuel,,
british_gas,West Midlands,SY2 6HL,2026-03-10T04:20:24.086891,,,,,,,,,,"Timeout: Locator.wait_for: Timeout 20000ms exceeded.
Call log:
  - waiting for locator(""#address-select"") to be visible
"
british_gas,North East,NE2 1UY,2026-03-10T04:24:10.319231,Fixed Tariff Mar27 v3,28.264,,,59.316,6.668,33.031,£75 per fuel,,
british_gas,North West,PR4 2NB,2026-03-10T04:29:23.463105,,,,,,,,,,"Timeout: Locator.wait_for: Timeout 20000ms exceeded.
Call log:
  - waiting for locator(""#address-select"") to be visible
"
british_gas,South East,BN2 7HQ,2026-03-10T04:33:07.307402,,,,,,,,,,"Timeout: Locator.wait_for: Timeout 20000ms exceeded.
Call log:
  - waiting for locator(""#address-select"") to be visible
"
british_gas,Southern,BH6 4AS,2026-03-10T04:33:56.809517,Fixed Tariff Mar27 v3,29.153,,,44.076,6.947,32.367,£75 per fuel,,
british_gas,South Wales,CF14 2DY,2026-03-10T04:39:05.871021,,,,,,,,,,"Timeout: Locator.wait_for: Timeout 20000ms exceeded.
Call log:
  - waiting for locator(""#address-select"") to be visible
"
british_gas,South West,PL9 7BS,2026-03-10T04:41:14.093760,Fixed Tariff Mar27 v3,29.409,,,53.485,6.96,32.528,£75 per fuel,,
british_gas,Yorkshire,YO31 1DT,2026-03-10T04:42:27.940605,Fixed Tariff Mar27 v3,28.264,,,59.316,6.668,33.031,£75 per fuel,,
british_gas,North Scotland,AB24 3EN,2026-03-10T04:44:58.824146,Fixed Tariff Mar27 v3,29.051,,,60.45,6.631,33.1,£75 per fuel,,
british_gas,South Scotland,G20 6NQ,2026-03-10T04:46:00.669401,Fixed Tariff Mar27 v3,29.138,,,56.002,6.626,33.13,£75 per fuel,,
ovo,Eastern,IP4 5ET,2026-03-10T04:08:56.826412,Simpler Energy,27.88,,,49.33,5.87,34.74,£0 per fuel,,
ovo,East Midlands,DE23 6JJ,2026-03-10T04:10:39.918317,Simpler Energy,26.89,,,50.17,5.79,34.82,£0 per fuel,,
ovo,London,N5 2SD,2026-03-10T04:12:24.769883,Simpler Energy,27.0,,,47.11,6.03,35.63,£0 per fuel,,
ovo,North Wales & Merseyside,L3 2BN,2026-03-10T04:15:32.883821,Simpler Energy,29.09,,,71.01,5.94,35.49,£0 per fuel,,
ovo,West Midlands,SY2 6HL,2026-03-10T04:17:23.715943,Simpler Energy,26.99,,,54.08,5.85,35.12,£0 per fuel,,
ovo,North East,NE2 1UY,2026-03-10T04:19:10.569748,Simpler Energy,26.75,,,60.93,5.93,35.21,£0 per fuel,,
ovo,North West,PR4 2NB,2026-03-10T04:22:47.400095,Simpler Energy,5.89,,,51.49,31.2,35.23,£0 per fuel,,
ovo,South East,BN2 7HQ,2026-03-10T04:24:47.762296,Simpler Energy,28.27,,,48.66,5.83,34.68,£0 per fuel,,
ovo,Southern,BH6 4AS,2026-03-10T04:26:35.476602,Simpler Energy,27.83,,,45.7,6.0,34.55,£0 per fuel,,
ovo,South Wales,CF14 2DY,2026-03-10T04:29:48.843451,Simpler Energy,28.18,,,52.75,6.11,35.35,£0 per fuel,,
ovo,South West,PL9 7BS,2026-03-10T04:31:41.311232,Simpler Energy,28.16,,,55.11,6.15,34.71,£0 per fuel,,
ovo,Yorkshire,YO31 1DT,2026-03-10T04:33:21.263205,Simpler Energy,26.75,,,60.93,5.93,35.21,£0 per fuel,,
ovo,North Scotland,AB24 3EN,2026-03-10T04:36:20.611822,Simpler Energy,28.36,,,62.06,5.89,35.28,£0 per fuel,,
ovo,South Scotland,G20 6NQ,2026-03-10T04:38:09.609029,Simpler Energy,27.18,,,57.62,5.89,35.3,£0 per fuel,,
octopus,Eastern,IP4 5ET,2026-03-10T04:09:03.009730,Agile Octopus,26.2815,,,48.788145,,,£0,,
octopus,East Midlands,DE23 6JJ,2026-03-10T04:09:03.009743,Agile Octopus,25.032,,,54.84696,,,£0,,
octopus,London,N5 2SD,2026-03-10T04:09:03.009748,Agile Octopus,25.032,,,39.535125,,,£0,,
octopus,North Wales & Merseyside,L3 2BN,2026-03-10T04:09:03.009751,Agile Octopus,27.531,,,65.83542,,,£0,,
octopus,West Midlands,SY2 6HL,2026-03-10T04:09:03.009754,Agile Octopus,26.2815,,,61.56108,,,£0,,
octopus,North East,NE2 1UY,2026-03-10T04:09:03.009757,Agile Octopus,26.2815,,,70.04823,,,£0,,
octopus,North West,PR4 2NB,2026-03-10T04:09:03.009759,Agile Octopus,26.2815,,,49.98336,,,£0,,
octopus,Southern,BH6 4AS,2026-03-10T04:09:03.009764,Agile Octopus,26.2815,,,62.224785,,,£0,,
octopus,South East,BN2 7HQ,2026-03-10T04:09:03.009767,Agile Octopus,27.531,,,55.78566,,,£0,,
octopus,South Wales,CF14 2DY,2026-03-10T04:09:03.009774,Agile Octopus,27.531,,,62.064135,,,£0,,
octopus,South West,PL9 7BS,2026-03-10T04:09:03.009777,Agile Octopus,28.791,,,66.066105,,,£0,,
octopus,Yorkshire,YO31 1DT,2026-03-10T04:09:03.009779,Agile Octopus,25.032,,,66.26277,,,£0,,
octopus,South Scotland,G20 6NQ,2026-03-10T04:09:03.009782,Agile Octopus,26.2815,,,62.11863,,,£0,,
octopus,North Scotland,AB24 3EN,2026-03-10T04:09:03.009784,Agile Octopus,30.0405,,,59.928225,,,£0,,
octopus,Eastern,IP4 5ET,2026-03-10T04:09:03.767889,Cosy Octopus 6M Fixed,16.024155,,,48.388515,,,£25 per fuel,,
octopus,East Midlands,DE23 6JJ,2026-03-10T04:09:03.767900,Cosy Octopus 6M Fixed,15.434685,,,48.31659,,,£25 per fuel,,
octopus,London,N5 2SD,2026-03-10T04:09:03.767904,Cosy Octopus 6M Fixed,15.48183,,,45.465735,,,£25 per fuel,,
octopus,North Wales & Merseyside,L3 2BN,2026-03-10T04:09:03.767907,Cosy Octopus 6M Fixed,16.74498,,,69.026055,,,£25 per fuel,,
octopus,West Midlands,SY2 6HL,2026-03-10T04:09:03.767910,Cosy Octopus 6M Fixed,15.489495,,,52.493595,,,£25 per fuel,,
octopus,North East,NE2 1UY,2026-03-10T04:09:03.767913,Cosy Octopus 6M Fixed,15.358665,,,58.897125,,,£25 per fuel,,
octopus,North West,PR4 2NB,2026-03-10T04:09:03.767916,Cosy Octopus 6M Fixed,16.374435,,,50.28996,,,£25 per fuel,,
octopus,Southern,BH6 4AS,2026-03-10T04:09:03.767920,Cosy Octopus 6M Fixed,15.9915,,,44.50782,,,£25 per fuel,,
octopus,South East,BN2 7HQ,2026-03-10T04:09:03.767923,Cosy Octopus 6M Fixed,16.259565,,,47.76429,,,£25 per fuel,,
octopus,South Wales,CF14 2DY,2026-03-10T04:09:03.767925,Cosy Octopus 6M Fixed,16.208115,,,50.48274,,,£25 per fuel,,
octopus,South West,PL9 7BS,2026-03-10T04:09:03.767928,Cosy Octopus 6M Fixed,16.202025,,,54.389265,,,£25 per fuel,,
octopus,Yorkshire,YO31 1DT,2026-03-10T04:09:03.767930,Cosy Octopus 6M Fixed,15.300075,,,57.84429,,,£25 per fuel,,
octopus,South Scotland,G20 6NQ,2026-03-10T04:09:03.767933,Cosy Octopus 6M Fixed,15.604575,,,57.28044,,,£25 per fuel,,
octopus,North Scotland,AB24 3EN,2026-03-10T04:09:03.767936,Cosy Octopus 6M Fixed,16.342515,,,61.67889,,,£25 per fuel,,
