supplier,region,postcode,scraped_at,tariff_name,elec_unit_rate_p,elec_day_rate_p,elec_night_rate_p,elec_standing_p,gas_unit_rate_p,gas_standing_p,exit_fee_gbp,contract_months,error
british_gas,Eastern,IP4 5ET,2026-03-04T04:08:35.528959,"variable tariff, tracking below the Ofgem Price cap – helping you save up to",27.883,,,42.48,5.865,27.889,£10 per fuel,,
british_gas,East Midlands,DE23 6JJ,2026-03-04T04:09:48.477776,"variable tariff, tracking below the Ofgem Price cap – helping you save up to",26.888,,,43.32,5.79,27.973,£10 per fuel,,
british_gas,London,N5 2SD,2026-03-04T04:10:47.274321,"variable tariff, tracking below the Ofgem Price cap – helping you save up to",26.998,,,40.259,6.028,28.775,£10 per fuel,,
british_gas,North Wales & Merseyside,L3 2BN,2026-03-04T04:13:00.128939,"variable tariff, tracking below the Ofgem Price cap – helping you save up to",29.089,,,64.162,5.941,28.638,£10 per fuel,,
british_gas,West Midlands,SY2 6HL,2026-03-04T04:13:59.941640,"variable tariff, tracking below the Ofgem Price cap – helping you save up to",26.987,,,47.232,5.853,28.266,£10 per fuel,,
british_gas,North East,NE2 1UY,2026-03-04T04:15:14.266154,"variable tariff, tracking below the Ofgem Price cap – helping you save up to",26.747,,,54.084,5.934,28.355,£10 per fuel,,
british_gas,North West,PR4 2NB,2026-03-04T04:17:46.238255,"variable tariff, tracking below the Ofgem Price cap – helping you save up to",28.447,,,45.374,5.895,28.382,£10 per fuel,,
british_gas,South East,BN2 7HQ,2026-03-04T04:18:41.712381,"variable tariff, tracking below the Ofgem Price cap – helping you save up to",28.268,,,41.813,5.825,27.826,£10 per fuel,,
british_gas,Southern,BH6 4AS,2026-03-04T04:19:32.334603,"variable tariff, tracking below the Ofgem Price cap – helping you save up to",27.826,,,38.853,6.001,27.705,£10 per fuel,,
british_gas,South Wales,CF14 2DY,2026-03-04T04:21:59.869146,"variable tariff, tracking below the Ofgem Price cap – helping you save up to",28.181,,,45.901,6.107,28.505,£10 per fuel,,
british_gas,South West,PL9 7BS,2026-03-04T04:23:08.002401,"variable tariff, tracking below the Ofgem Price cap – helping you save up to",28.159,,,48.257,6.147,27.858,£10 per fuel,,
british_gas,Yorkshire,YO31 1DT,2026-03-04T04:25:21.234483,"variable tariff, tracking below the Ofgem Price cap – helping you save up to",26.747,,,54.084,5.934,28.355,£10 per fuel,,
british_gas,North Scotland,AB24 3EN,2026-03-04T04:27:26.692185,"variable tariff, tracking below the Ofgem Price cap – helping you save up to",28.362,,,55.215,5.888,28.428,£10 per fuel,,
british_gas,South Scotland,G20 6NQ,2026-03-04T04:28:32.293076,"variable tariff, tracking below the Ofgem Price cap – helping you save up to",27.181,,,50.771,5.888,28.453,£10 per fuel,,
ovo,Eastern,IP4 5ET,2026-03-04T04:08:30.919864,Simpler Energy,27.88,,,49.33,5.87,34.74,£0 per fuel,,
ovo,East Midlands,DE23 6JJ,2026-03-04T04:10:18.530336,Simpler Energy,26.89,,,50.17,5.79,34.82,£0 per fuel,,
ovo,London,N5 2SD,2026-03-04T04:12:01.811526,Simpler Energy,27.0,,,47.11,6.03,35.63,£0 per fuel,,
ovo,North Wales & Merseyside,L3 2BN,2026-03-04T04:15:28.043190,Simpler Energy,29.09,,,71.01,5.94,35.49,£0 per fuel,,
ovo,West Midlands,SY2 6HL,2026-03-04T04:17:13.625105,Simpler Energy,26.99,,,54.08,5.85,35.12,£0 per fuel,,
ovo,North East,NE2 1UY,2026-03-04T04:18:52.627678,Simpler Energy,26.75,,,60.93,5.93,35.21,£0 per fuel,,
ovo,North West,PR4 2NB,2026-03-04T04:22:36.163287,Simpler Energy,5.89,,,51.49,31.2,35.23,£0 per fuel,,
