supplier,region,postcode,scraped_at,tariff_name,elec_unit_rate_p,elec_day_rate_p,elec_night_rate_p,elec_standing_p,gas_unit_rate_p,gas_standing_p,exit_fee_gbp,contract_months,error
british_gas,Eastern,IP4 5ET,2026-03-09T04:16:36.984092,Fixed Tariff Mar27 v3,29.412,,,47.703,6.512,32.554,£75 per fuel,,
british_gas,East Midlands,DE23 6JJ,2026-03-09T04:17:45.263803,Fixed Tariff Mar27 v3,28.011,,,48.537,6.531,32.637,£75 per fuel,,
british_gas,London,N5 2SD,2026-03-09T04:18:43.144466,Fixed Tariff Mar27 v3,27.629,,,45.508,6.993,33.457,£75 per fuel,,
british_gas,North Wales & Merseyside,L3 2BN,2026-03-09T04:21:24.374877,Fixed Tariff Mar27 v3,30.309,,,69.399,6.905,33.319,£75 per fuel,,
british_gas,West Midlands,SY2 6HL,2026-03-09T04:22:26.093504,Fixed Tariff Mar27 v3,28.323,,,52.453,6.638,32.94,£75 per fuel,,
british_gas,North East,NE2 1UY,2026-03-09T04:23:31.968402,Fixed Tariff Mar27 v3,28.264,,,59.316,6.668,33.031,£75 per fuel,,
british_gas,North West,PR4 2NB,2026-03-09T04:28:54.696143,Fixed Tariff Mar27 v3,28.035,,,50.609,6.633,33.06,£75 per fuel,,
british_gas,South East,BN2 7HQ,2026-03-09T04:30:50.668528,Fixed Tariff Mar27 v3,29.778,,,47.047,6.784,32.488,£75 per fuel,,
british_gas,Southern,BH6 4AS,2026-03-09T04:31:51.983171,Fixed Tariff Mar27 v3,29.153,,,44.076,6.947,32.367,£75 per fuel,,
british_gas,South Wales,CF14 2DY,2026-03-09T04:34:15.739702,Fixed Tariff Mar27 v3,29.366,,,51.141,6.866,33.187,£75 per fuel,,
british_gas,South West,PL9 7BS,2026-03-09T04:35:18.725793,Fixed Tariff Mar27 v3,29.409,,,53.485,6.96,32.528,£75 per fuel,,
british_gas,Yorkshire,YO31 1DT,2026-03-09T04:36:22.630122,Fixed Tariff Mar27 v3,28.264,,,59.316,6.668,33.031,£75 per fuel,,
british_gas,North Scotland,AB24 3EN,2026-03-09T04:38:46.029371,Fixed Tariff Mar27 v3,29.051,,,60.45,6.631,33.1,£75 per fuel,,
british_gas,South Scotland,G20 6NQ,2026-03-09T04:39:44.921292,Fixed Tariff Mar27 v3,29.138,,,56.002,6.626,33.13,£75 per fuel,,
ovo,Eastern,IP4 5ET,2026-03-09T04:16:29.793107,Simpler Energy,27.88,,,49.33,5.87,34.74,£0 per fuel,,
ovo,East Midlands,DE23 6JJ,2026-03-09T04:18:21.935212,Simpler Energy,26.89,,,50.17,5.79,34.82,£0 per fuel,,
ovo,London,N5 2SD,2026-03-09T04:20:13.096511,Simpler Energy,27.0,,,47.11,6.03,35.63,£0 per fuel,,
ovo,North Wales & Merseyside,L3 2BN,2026-03-09T04:23:41.256477,Simpler Energy,29.09,,,71.01,5.94,35.49,£0 per fuel,,
ovo,West Midlands,SY2 6HL,2026-03-09T04:25:31.910602,Simpler Energy,26.99,,,54.08,5.85,35.12,£0 per fuel,,
ovo,North East,NE2 1UY,2026-03-09T04:27:19.492516,Simpler Energy,26.75,,,60.93,5.93,35.21,£0 per fuel,,
ovo,North West,PR4 2NB,2026-03-09T04:32:00.341853,Simpler Energy,5.89,,,51.49,31.2,35.23,£0 per fuel,,
ovo,South East,BN2 7HQ,2026-03-09T04:34:46.293318,Simpler Energy,28.27,,,48.66,5.83,34.68,£0 per fuel,,
ovo,Southern,BH6 4AS,2026-03-09T04:36:38.566307,Simpler Energy,27.83,,,45.7,6.0,34.55,£0 per fuel,,
ovo,South Wales,CF14 2DY,2026-03-09T04:39:58.525915,Simpler Energy,28.18,,,52.75,6.11,35.35,£0 per fuel,,
ovo,South West,PL9 7BS,2026-03-09T04:41:45.730779,Simpler Energy,28.16,,,55.11,6.15,34.71,£0 per fuel,,
ovo,Yorkshire,YO31 1DT,2026-03-09T04:43:30.974200,Simpler Energy,26.75,,,60.93,5.93,35.21,£0 per fuel,,
ovo,North Scotland,AB24 3EN,2026-03-09T04:46:41.912128,Simpler Energy,28.36,,,62.06,5.89,35.28,£0 per fuel,,
ovo,South Scotland,G20 6NQ,2026-03-09T04:48:30.387360,Simpler Energy,27.18,,,57.62,5.89,35.3,£0 per fuel,,
octopus,Eastern,IP4 5ET,2026-03-09T04:16:35.504070,Agile Octopus,25.578,,,48.788145,,,£0,,
octopus,East Midlands,DE23 6JJ,2026-03-09T04:16:35.504087,Agile Octopus,24.36,,,54.84696,,,£0,,
octopus,London,N5 2SD,2026-03-09T04:16:35.504093,Agile Octopus,24.36,,,39.535125,,,£0,,
octopus,North Wales & Merseyside,L3 2BN,2026-03-09T04:16:35.504098,Agile Octopus,26.796,,,65.83542,,,£0,,
octopus,West Midlands,SY2 6HL,2026-03-09T04:16:35.504103,Agile Octopus,25.578,,,61.56108,,,£0,,
octopus,North East,NE2 1UY,2026-03-09T04:16:35.504107,Agile Octopus,25.578,,,70.04823,,,£0,,
octopus,North West,PR4 2NB,2026-03-09T04:16:35.504112,Agile Octopus,25.578,,,49.98336,,,£0,,
octopus,Southern,BH6 4AS,2026-03-09T04:16:35.504119,Agile Octopus,25.578,,,62.224785,,,£0,,
octopus,South East,BN2 7HQ,2026-03-09T04:16:35.504125,Agile Octopus,26.796,,,55.78566,,,£0,,
octopus,South Wales,CF14 2DY,2026-03-09T04:16:35.504133,Agile Octopus,26.796,,,62.064135,,,£0,,
octopus,South West,PL9 7BS,2026-03-09T04:16:35.504138,Agile Octopus,28.014,,,66.066105,,,£0,,
octopus,Yorkshire,YO31 1DT,2026-03-09T04:16:35.504142,Agile Octopus,24.36,,,66.26277,,,£0,,
octopus,South Scotland,G20 6NQ,2026-03-09T04:16:35.504146,Agile Octopus,25.578,,,62.11863,,,£0,,
octopus,North Scotland,AB24 3EN,2026-03-09T04:16:35.504150,Agile Octopus,29.232,,,59.928225,,,£0,,
octopus,Eastern,IP4 5ET,2026-03-09T04:16:35.950140,Cosy Octopus 6M Fixed,16.024155,,,48.388515,,,£25 per fuel,,
octopus,East Midlands,DE23 6JJ,2026-03-09T04:16:35.950161,Cosy Octopus 6M Fixed,15.434685,,,48.31659,,,£25 per fuel,,
octopus,London,N5 2SD,2026-03-09T04:16:35.950169,Cosy Octopus 6M Fixed,15.48183,,,45.465735,,,£25 per fuel,,
octopus,North Wales & Merseyside,L3 2BN,2026-03-09T04:16:35.950176,Cosy Octopus 6M Fixed,16.74498,,,69.026055,,,£25 per fuel,,
octopus,West Midlands,SY2 6HL,2026-03-09T04:16:35.950183,Cosy Octopus 6M Fixed,15.489495,,,52.493595,,,£25 per fuel,,
octopus,North East,NE2 1UY,2026-03-09T04:16:35.950189,Cosy Octopus 6M Fixed,15.358665,,,58.897125,,,£25 per fuel,,
octopus,North West,PR4 2NB,2026-03-09T04:16:35.950195,Cosy Octopus 6M Fixed,16.374435,,,50.28996,,,£25 per fuel,,
octopus,Southern,BH6 4AS,2026-03-09T04:16:35.950201,Cosy Octopus 6M Fixed,15.9915,,,44.50782,,,£25 per fuel,,
octopus,South East,BN2 7HQ,2026-03-09T04:16:35.950207,Cosy Octopus 6M Fixed,16.259565,,,47.76429,,,£25 per fuel,,
octopus,South Wales,CF14 2DY,2026-03-09T04:16:35.950214,Cosy Octopus 6M Fixed,16.208115,,,50.48274,,,£25 per fuel,,
octopus,South West,PL9 7BS,2026-03-09T04:16:35.950221,Cosy Octopus 6M Fixed,16.202025,,,54.389265,,,£25 per fuel,,
octopus,Yorkshire,YO31 1DT,2026-03-09T04:16:35.950228,Cosy Octopus 6M Fixed,15.300075,,,57.84429,,,£25 per fuel,,
octopus,South Scotland,G20 6NQ,2026-03-09T04:16:35.950235,Cosy Octopus 6M Fixed,15.604575,,,57.28044,,,£25 per fuel,,
octopus,North Scotland,AB24 3EN,2026-03-09T04:16:35.950242,Cosy Octopus 6M Fixed,16.342515,,,61.67889,,,£25 per fuel,,
octopus,Eastern,IP4 5ET,2026-03-09T04:16:36.381236,Octopus Go 6M Fixed,35.777805,,,48.388515,,,£25 per fuel,,
octopus,East Midlands,DE23 6JJ,2026-03-09T04:16:36.381250,Octopus Go 6M Fixed,33.88014,,,48.31659,,,£25 per fuel,,
octopus,London,N5 2SD,2026-03-09T04:16:36.381254,Octopus Go 6M Fixed,34.18674,,,45.465735,,,£25 per fuel,,
octopus,North Wales & Merseyside,L3 2BN,2026-03-09T04:16:36.381257,Octopus Go 6M Fixed,37.10616,,,69.026055,,,£25 per fuel,,
octopus,West Midlands,SY2 6HL,2026-03-09T04:16:36.381260,Octopus Go 6M Fixed,33.602835,,,52.493595,,,£25 per fuel,,
octopus,North East,NE2 1UY,2026-03-09T04:16:36.381263,Octopus Go 6M Fixed,33.923925,,,58.897125,,,£25 per fuel,,
octopus,North West,PR4 2NB,2026-03-09T04:16:36.381266,Octopus Go 6M Fixed,35.237685,,,50.28996,,,£25 per fuel,,
octopus,Southern,BH6 4AS,2026-03-09T04:16:36.381268,Octopus Go 6M Fixed,35.208495,,,44.50782,,,£25 per fuel,,
octopus,South East,BN2 7HQ,2026-03-09T04:16:36.381271,Octopus Go 6M Fixed,35.982135,,,47.76429,,,£25 per fuel,,
octopus,South Wales,CF14 2DY,2026-03-09T04:16:36.381274,Octopus Go 6M Fixed,35.354445,,,50.48274,,,£25 per fuel,,
octopus,South West,PL9 7BS,2026-03-09T04:16:36.381276,Octopus Go 6M Fixed,35.865375,,,54.389265,,,£25 per fuel,,
octopus,Yorkshire,YO31 1DT,2026-03-09T04:16:36.381279,Octopus Go 6M Fixed,33.267045,,,57.84429,,,£25 per fuel,,
octopus,South Scotland,G20 6NQ,2026-03-09T04:16:36.381282,Octopus Go 6M Fixed,34.668375,,,57.28044,,,£25 per fuel,,
octopus,North Scotland,AB24 3EN,2026-03-09T04:16:36.381285,Octopus Go 6M Fixed,35.93835,,,61.67889,,,£25 per fuel,,
octopus,Eastern,IP4 5ET,2026-03-09T04:16:37.271258,Intelligent Octopus Go 6M Fixed,35.777805,,,48.388515,,,£25 per fuel,,
octopus,East Midlands,DE23 6JJ,2026-03-09T04:16:37.271272,Intelligent Octopus Go 6M Fixed,33.88014,,,48.31659,,,£25 per fuel,,
octopus,London,N5 2SD,2026-03-09T04:16:37.271276,Intelligent Octopus Go 6M Fixed,34.18674,,,45.465735,,,£25 per fuel,,
octopus,North Wales & Merseyside,L3 2BN,2026-03-09T04:16:37.271279,Intelligent Octopus Go 6M Fixed,37.10616,,,69.026055,,,£25 per fuel,,
octopus,West Midlands,SY2 6HL,2026-03-09T04:16:37.271281,Intelligent Octopus Go 6M Fixed,33.602835,,,52.493595,,,£25 per fuel,,
octopus,North East,NE2 1UY,2026-03-09T04:16:37.271284,Intelligent Octopus Go 6M Fixed,33.923925,,,58.897125,,,£25 per fuel,,
octopus,North West,PR4 2NB,2026-03-09T04:16:37.271287,Intelligent Octopus Go 6M Fixed,35.237685,,,50.28996,,,£25 per fuel,,
octopus,Southern,BH6 4AS,2026-03-09T04:16:37.271290,Intelligent Octopus Go 6M Fixed,35.208495,,,44.50782,,,£25 per fuel,,
octopus,South East,BN2 7HQ,2026-03-09T04:16:37.271292,Intelligent Octopus Go 6M Fixed,35.982135,,,47.76429,,,£25 per fuel,,
octopus,South Wales,CF14 2DY,2026-03-09T04:16:37.271295,Intelligent Octopus Go 6M Fixed,35.354445,,,50.48274,,,£25 per fuel,,
octopus,South West,PL9 7BS,2026-03-09T04:16:37.271298,Intelligent Octopus Go 6M Fixed,35.865375,,,54.389265,,,£25 per fuel,,
octopus,Yorkshire,YO31 1DT,2026-03-09T04:16:37.271302,Intelligent Octopus Go 6M Fixed,33.267045,,,57.84429,,,£25 per fuel,,
octopus,South Scotland,G20 6NQ,2026-03-09T04:16:37.271305,Intelligent Octopus Go 6M Fixed,34.668375,,,57.28044,,,£25 per fuel,,
octopus,North Scotland,AB24 3EN,2026-03-09T04:16:37.271308,Intelligent Octopus Go 6M Fixed,35.93835,,,61.67889,,,£25 per fuel,,
octopus,Eastern,IP4 5ET,2026-03-09T04:16:37.698595,Intelligent Octopus Go - EV Saver,32.200035,,,48.388515,,,£0,,
octopus,East Midlands,DE23 6JJ,2026-03-09T04:16:37.698608,Intelligent Octopus Go - EV Saver,30.49221,,,48.31659,,,£0,,
