supplier,region,postcode,scraped_at,tariff_name,elec_unit_rate_p,elec_day_rate_p,elec_night_rate_p,elec_standing_p,gas_unit_rate_p,gas_standing_p,exit_fee_gbp,contract_months,error
british_gas,Eastern,IP4 5ET,2026-02-17T04:19:31.375976,Fixed Tariff Feb27 v6,25.413,,,47.703,5.489,33.102,£50 per fuel,,
british_gas,East Midlands,DE23 6JJ,2026-02-17T04:20:38.892822,Fixed Tariff Feb27 v6,24.583,,,48.742,5.495,33.39,£50 per fuel,,
british_gas,London,N5 2SD,2026-02-17T04:21:49.589775,Fixed Tariff Feb27 v6,24.616,,,45.714,5.732,34.21,£50 per fuel,,
british_gas,North Wales & Merseyside,L3 2BN,2026-02-17T04:24:16.133035,Fixed Tariff Feb27 v6,26.308,,,69.605,5.774,34.073,£50 per fuel,,
british_gas,West Midlands,SY2 6HL,2026-02-17T04:25:09.779301,Fixed Tariff Feb27 v6,24.683,,,52.659,5.542,33.692,£50 per fuel,,
british_gas,North East,NE2 1UY,2026-02-17T04:26:19.332529,Fixed Tariff Feb27 v6,24.646,,,59.316,5.598,33.579,£50 per fuel,,
british_gas,North West,PR4 2NB,2026-02-17T04:29:07.201769,Fixed Tariff Feb27 v6,25.019,,,50.609,5.332,33.608,£50 per fuel,,
british_gas,South East,BN2 7HQ,2026-02-17T04:31:27.657308,Fixed Tariff Feb27 v6,25.759,,,47.047,5.551,33.036,£50 per fuel,,
british_gas,Southern,BH6 4AS,2026-02-17T04:33:30.664049,Fixed Tariff Feb27 v6,25.49,,,44.282,5.65,33.12,£50 per fuel,,
british_gas,South Wales,CF14 2DY,2026-02-17T04:36:09.788737,Fixed Tariff Feb27 v6,26.001,,,51.141,5.765,33.735,£50 per fuel,,
british_gas,South West,PL9 7BS,2026-02-17T04:37:07.523186,Fixed Tariff Feb27 v6,26.003,,,53.485,5.836,33.076,£50 per fuel,,
british_gas,Yorkshire,YO31 1DT,2026-02-17T04:38:10.993518,Fixed Tariff Feb27 v6,24.646,,,59.316,5.598,33.579,£50 per fuel,,
british_gas,North Scotland,AB24 3EN,2026-02-17T04:40:43.461473,Fixed Tariff Feb27 v6,25.472,,,60.45,5.487,33.648,£50 per fuel,,
british_gas,South Scotland,G20 6NQ,2026-02-17T04:41:51.931983,Fixed Tariff Feb27 v6,25.074,,,56.208,5.579,33.882,£50 per fuel,,
ovo,Eastern,IP4 5ET,2026-02-17T04:19:30.653880,1 Year Fixed,26.97,,,58.19,5.96,24.83,£50 per fuel,,
ovo,East Midlands,DE23 6JJ,2026-02-17T04:21:03.323882,1 Year Fixed,26.02,,,58.11,5.91,24.92,£50 per fuel,,
ovo,London,N5 2SD,2026-02-17T04:22:42.118712,1 Year Fixed,26.6,,,50.99,6.16,25.64,£50 per fuel,,
ovo,North Wales & Merseyside,L3 2BN,2026-02-17T04:25:58.759034,1 Year Fixed,28.11,,,75.14,6.06,25.58,£50 per fuel,,
ovo,West Midlands,SY2 6HL,2026-02-17T04:27:29.234592,1 Year Fixed,26.05,,,63.49,6.0,25.19,£50 per fuel,,
ovo,North East,NE2 1UY,2026-02-17T04:28:49.884007,1 Year Fixed,26.06,,,68.24,6.06,25.31,£50 per fuel,,
ovo,North West,PR4 2NB,2026-02-17T04:32:06.044186,1 Year Fixed,6.03,,,54.03,29.35,25.33,£50 per fuel,,
ovo,South East,BN2 7HQ,2026-02-17T04:33:56.412575,1 Year Fixed,27.18,,,58.44,6.03,24.79,£50 per fuel,,
ovo,Southern,BH6 4AS,2026-02-17T04:35:35.318333,1 Year Fixed,26.92,,,54.3,6.22,24.66,£50 per fuel,,
