supplier,region,postcode,scraped_at,tariff_name,elec_unit_rate_p,elec_day_rate_p,elec_night_rate_p,elec_standing_p,gas_unit_rate_p,gas_standing_p,exit_fee_gbp,contract_months,error
eon_next,Eastern,IP4 5ET,2026-01-07T03:32:47.481843,,,,,,,,,,Could not extract rates
eon_next,East Midlands,DE23 6JJ,2026-01-07T03:38:48.321096,,,,,,,,,,Could not extract rates
eon_next,London,N5 2SD,2026-01-07T03:44:25.568471,,,,,,,,,,Could not extract rates
british_gas,Eastern,IP4 5ET,2026-01-07T03:28:31.067040,Fixed Tariff Jan27 v1,25.9,,,47.018,5.434,32.436,£50 per fuel,,
british_gas,East Midlands,DE23 6JJ,2026-01-07T03:29:39.281663,Fixed Tariff Jan27 v1,24.925,,,47.852,5.406,32.52,£50 per fuel,,
british_gas,London,N5 2SD,2026-01-07T03:30:43.343773,Fixed Tariff Jan27 v1,25.002,,,44.823,5.645,33.339,£50 per fuel,,
british_gas,North Wales & Merseyside,L3 2BN,2026-01-07T03:33:05.723196,Fixed Tariff Jan27 v1,27.093,,,68.714,5.687,33.201,£50 per fuel,,
british_gas,West Midlands,SY2 6HL,2026-01-07T03:34:03.808669,Fixed Tariff Jan27 v1,25.015,,,51.768,5.455,32.822,£50 per fuel,,
british_gas,North East,NE2 1UY,2026-01-07T03:35:06.966824,Fixed Tariff Jan27 v1,24.799,,,58.632,5.565,32.914,£50 per fuel,,
british_gas,North West,PR4 2NB,2026-01-07T03:37:55.015543,Fixed Tariff Jan27 v1,26.48,,,49.924,5.275,32.942,£50 per fuel,,
british_gas,South East,BN2 7HQ,2026-01-07T03:38:48.393063,Fixed Tariff Jan27 v1,26.29,,,46.362,5.474,32.37,£50 per fuel,,
british_gas,Southern,BH6 4AS,2026-01-07T03:39:54.242039,Fixed Tariff Jan27 v1,25.846,,,43.391,5.562,32.249,£50 per fuel,,
british_gas,South Wales,CF14 2DY,2026-01-07T03:42:16.453958,Fixed Tariff Jan27 v1,26.205,,,50.456,5.689,33.069,£50 per fuel,,
british_gas,South West,PL9 7BS,2026-01-07T03:43:16.086127,Fixed Tariff Jan27 v1,26.194,,,52.8,5.78,32.41,£50 per fuel,,
british_gas,Yorkshire,YO31 1DT,2026-01-07T03:44:22.130766,Fixed Tariff Jan27 v1,24.799,,,58.632,5.565,32.914,£50 per fuel,,
british_gas,North Scotland,AB24 3EN,2026-01-07T03:46:27.855883,Fixed Tariff Jan27 v1,26.427,,,59.765,5.41,32.983,£50 per fuel,,
british_gas,South Scotland,G20 6NQ,2026-01-07T03:47:32.853465,Fixed Tariff Jan27 v1,25.205,,,55.318,5.595,33.012,£50 per fuel,,
ovo,Eastern,IP4 5ET,2026-01-07T03:28:24.858652,1 Year Fixed,26.9,,,55.65,6.01,28.04,£50 per fuel,12,
ovo,East Midlands,DE23 6JJ,2026-01-07T03:30:02.202283,1 Year Fixed,25.95,,,56.07,5.93,27.49,£50 per fuel,,
ovo,London,N5 2SD,2026-01-07T03:31:27.141701,1 Year Fixed,26.05,,,51.32,6.18,30.4,£50 per fuel,,
ovo,North Wales & Merseyside,L3 2BN,2026-01-07T03:34:39.070953,1 Year Fixed,28.14,,,75.22,6.1,30.26,£50 per fuel,,
ovo,West Midlands,SY2 6HL,2026-01-07T03:36:07.234478,1 Year Fixed,26.01,,,60.83,6.0,27.94,£50 per fuel,,
ovo,North East,NE2 1UY,2026-01-07T03:37:32.681733,1 Year Fixed,25.8,,,66.83,6.08,27.88,£50 per fuel,,
ovo,North West,PR4 2NB,2026-01-07T03:40:43.013217,1 Year Fixed,5.74,,,55.43,28.63,31.03,£50 per fuel,,
ovo,South East,BN2 7HQ,2026-01-07T03:42:28.870770,1 Year Fixed,27.22,,,55.83,5.97,27.34,£50 per fuel,12,
ovo,Southern,BH6 4AS,2026-01-07T03:43:56.383957,1 Year Fixed,26.88,,,51.98,6.13,28.28,£50 per fuel,,
ovo,South Wales,CF14 2DY,2026-01-07T03:46:44.890263,1 Year Fixed,27.22,,,59.28,6.26,27.5,£50 per fuel,,
ovo,South West,PL9 7BS,2026-01-07T03:48:15.107298,1 Year Fixed,27.22,,,61.01,6.27,28.42,£50 per fuel,,
ovo,Yorkshire,YO31 1DT,2026-01-07T03:49:45.324303,1 Year Fixed,25.8,,,66.83,6.08,27.88,£50 per fuel,,
ovo,North Scotland,AB24 3EN,2026-01-07T03:52:31.823497,1 Year Fixed,27.52,,,65.24,6.02,31.1,£50 per fuel,12,
