supplier,region,postcode,scraped_at,tariff_name,elec_unit_rate_p,elec_day_rate_p,elec_night_rate_p,elec_standing_p,gas_unit_rate_p,gas_standing_p,exit_fee_gbp,contract_months,error
eon_next,Eastern,IP4 5ET,2026-01-16T03:33:26.135062,,,,,,,,,,Could not extract rates
eon_next,East Midlands,DE23 6JJ,2026-01-16T03:39:51.776734,,,,,,,,,,Could not extract rates
eon_next,London,N5 2SD,2026-01-16T03:46:02.173139,,,,,,,,,,Could not extract rates
british_gas,Eastern,IP4 5ET,2026-01-16T03:30:31.607108,Fixed Tariff Jan27 v1,25.9,,,47.018,5.434,32.436,£50 per fuel,,
british_gas,East Midlands,DE23 6JJ,2026-01-16T03:31:30.448772,Fixed Tariff Jan27 v1,24.925,,,47.852,5.406,32.52,£50 per fuel,,
british_gas,London,N5 2SD,2026-01-16T03:32:30.584323,Fixed Tariff Jan27 v1,25.002,,,44.823,5.645,33.339,£50 per fuel,,
british_gas,North Wales & Merseyside,L3 2BN,2026-01-16T03:35:18.318728,Fixed Tariff Jan27 v1,27.093,,,68.714,5.687,33.201,£50 per fuel,,
british_gas,West Midlands,SY2 6HL,2026-01-16T03:36:19.826363,Fixed Tariff Jan27 v1,25.015,,,51.768,5.455,32.822,£50 per fuel,,
british_gas,North East,NE2 1UY,2026-01-16T03:37:25.379883,Fixed Tariff Jan27 v1,24.799,,,58.632,5.565,32.914,£50 per fuel,,
british_gas,North West,PR4 2NB,2026-01-16T03:40:00.848265,Fixed Tariff Jan27 v1,26.48,,,49.924,5.275,32.942,£50 per fuel,,
british_gas,South East,BN2 7HQ,2026-01-16T03:41:01.958563,Fixed Tariff Jan27 v1,26.29,,,46.362,5.474,32.37,£50 per fuel,,
british_gas,Southern,BH6 4AS,2026-01-16T03:41:56.818857,Fixed Tariff Jan27 v1,25.846,,,43.391,5.562,32.249,£50 per fuel,,
british_gas,South Wales,CF14 2DY,2026-01-16T03:44:19.146177,Fixed Tariff Jan27 v1,26.205,,,50.456,5.689,33.069,£50 per fuel,,
british_gas,South West,PL9 7BS,2026-01-16T03:45:10.934307,Fixed Tariff Jan27 v1,26.194,,,52.8,5.78,32.41,£50 per fuel,,
british_gas,Yorkshire,YO31 1DT,2026-01-16T03:46:21.429987,Fixed Tariff Jan27 v1,24.799,,,58.632,5.565,32.914,£50 per fuel,,
british_gas,North Scotland,AB24 3EN,2026-01-16T03:48:32.286776,Fixed Tariff Jan27 v1,26.427,,,59.765,5.41,32.983,£50 per fuel,,
british_gas,South Scotland,G20 6NQ,2026-01-16T03:49:34.151540,Fixed Tariff Jan27 v1,25.205,,,55.318,5.595,33.012,£50 per fuel,,
ovo,Eastern,IP4 5ET,2026-01-16T03:29:02.360602,1 Year Fixed,26.93,,,58.19,5.82,24.83,£50 per fuel,,
ovo,East Midlands,DE23 6JJ,2026-01-16T03:30:34.583338,1 Year Fixed,26.0,,,58.11,5.76,24.92,£50 per fuel,,
ovo,London,N5 2SD,2026-01-16T03:32:03.264336,1 Year Fixed,26.51,,,50.99,5.99,25.64,£50 per fuel,,
ovo,North Wales & Merseyside,L3 2BN,2026-01-16T03:34:55.365300,1 Year Fixed,28.07,,,75.14,5.87,25.58,£50 per fuel,,
ovo,West Midlands,SY2 6HL,2026-01-16T03:36:21.572812,1 Year Fixed,26.02,,,63.49,5.86,25.19,£50 per fuel,,
ovo,North East,NE2 1UY,2026-01-16T03:37:52.068407,1 Year Fixed,26.02,,,68.24,5.87,25.31,£50 per fuel,,
ovo,North West,PR4 2NB,2026-01-16T03:41:02.347903,1 Year Fixed,5.79,,,54.03,29.17,25.33,£50 per fuel,,
ovo,South East,BN2 7HQ,2026-01-16T03:42:42.802701,1 Year Fixed,27.15,,,58.44,5.87,24.79,£50 per fuel,,
ovo,Southern,BH6 4AS,2026-01-16T03:44:14.522352,1 Year Fixed,26.88,,,54.3,6.03,24.66,£50 per fuel,,
ovo,South Wales,CF14 2DY,2026-01-16T03:47:17.254338,1 Year Fixed,27.05,,,61.88,5.96,25.47,£50 per fuel,,
ovo,South West,PL9 7BS,2026-01-16T03:48:47.945027,1 Year Fixed,27.11,,,62.28,6.07,24.8,£50 per fuel,,
ovo,Yorkshire,YO31 1DT,2026-01-16T03:50:11.488381,1 Year Fixed,26.02,,,68.24,5.87,25.31,£50 per fuel,,
ovo,North Scotland,AB24 3EN,2026-01-16T03:52:56.408499,1 Year Fixed,27.26,,,63.39,5.8,25.38,£50 per fuel,,
ovo,South Scotland,G20 6NQ,2026-01-16T03:54:30.886267,1 Year Fixed,26.51,,,67.59,5.8,25.4,£50 per fuel,,
octopus,Eastern,IP4 5ET,2026-01-16T03:29:08.419440,Agile Octopus,24.339,,,48.788145,,,£0,,
octopus,East Midlands,DE23 6JJ,2026-01-16T03:29:08.419457,Agile Octopus,23.184,,,54.84696,,,£0,,
octopus,London,N5 2SD,2026-01-16T03:29:08.419464,Agile Octopus,23.184,,,39.535125,,,£0,,
